"Other Crops: Volume of Production, by Region and by Province, by Quarter and Semester, 2020-2024",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Crop,Geolocation,2020 Semester1,2020 Semester2,2020 Annual,2021 Semester1,2021 Semester2,2021 Annual,2022 Semester1,2022 Semester2,2022 Annual,2023 Semester1,2023 Semester2,2023 Annual,2024 Semester1,2024 Semester2,2024 Annual
Coconut (w/ husk),..REGION II (CAGAYAN VALLEY),34527.38,44189.14,78716.52,36735.14,45928.44,82663.58,37516.91,46598.32,84115.23,40088.52,47286.15,87374.67,41202.98,42310.13,83513.11
Coconut (w/ husk),..REGION III (CENTRAL LUZON),44138.62,67700.93,111839.55,33331.15,67525.11,100856.26,35573.21,65904.72,101477.93,36736.86,56067,92803.86,33901.28,53437.48,87338.76
Coconut (w/ husk),..REGION IV-A (CALABARZON),528286.12,964780.53,1493066.65,518385.74,991196.51,1509582.24,529187.77,999710.08,1528897.85,531015.63,1015428.52,1546444.15,494295.48,989248.17,1483543.65
Coconut (w/ husk),..MIMAROPA REGION,259181.78,500187.15,759368.93,265106.89,538250.46,803357.35,296800.39,609122.13,905922.52,308186.88,488674.6,796861.48,308427.65,492440.67,800868.32
Coconut (w/ husk),..REGION V (BICOL REGION),440526.48,710330.92,1150857.4,377352.14,733847.93,1111200.07,472123.3,789610.06,1261733.36,456978.49,727709.07,1184687.56,433787.89,720163.26,1153951.15
Coconut (w/ husk),..REGION VI (WESTERN VISAYAS),251533.2,270053.72,521586.92,268900.75,285783.39,554684.14,279817.03,296594.24,576411.27,288161.29,291597.22,579758.5,219240.34,221146.61,440386.95
Coconut (w/ husk),..NEGROS ISLAND REGION (NIR) 2/,0,0,0,0,0,0,0,0,0,0,0,0,125593.84,158779.52,284373.36
Coconut (w/ husk),..REGION VII (CENTRAL VISAYAS),174898.14,213645.27,388543.41,183231.42,228465.41,411696.83,111420.64,188626.45,300047.09,165075.18,245210.48,410285.66,92458.54,138704.7,231163.24
Coconut (w/ husk),..REGION VIII (EASTERN VISAYAS),451067.72,648582.58,1099650.29,451090.53,664684.86,1115775.39,463681.22,650985.57,1114666.79,500598.63,688478.4,1189077.03,491890.73,697774.55,1189665.28
Coconut (w/ husk),..REGION IX (ZAMBOANGA PENINSULA),854125.14,891911.31,1746036.45,863477.48,937217.51,1800694.99,895050.29,950358.02,1845408.31,924252.2,923228.09,1847480.29,877789,942146.58,1819935.58
Coconut (w/ husk),..REGION X (NORTHERN MINDANAO),874870.37,983909.43,1858779.8,868279.27,996624.97,1864904.24,877110.17,995039.77,1872149.94,894268.17,994491.65,1888759.82,836515.71,972101.14,1808616.85
Coconut (w/ husk),..REGION XI (DAVAO REGION),940355.92,1022340.81,1962696.74,953071.33,1030170.29,1983241.63,963818.07,1048607.09,2012425.16,948170.29,1039615.31,1987785.6,938466.32,1031025.45,1969491.77
Coconut (w/ husk),..REGION XII (SOCCSKSARGEN),582386.87,580258.77,1162645.64,605560.73,608134.5,1213695.23,617846.99,612173.14,1230020.14,621909.23,601870.51,1223779.74,586707.14,575791.54,1162498.68
Coconut (w/ husk),..REGION XIII (CARAGA),377756.06,386368.39,764124.45,381148.83,375967.68,757116.51,348521.42,328200.36,676721.78,325494.04,317445.63,642939.67,320484.75,336351.98,656836.73
Coconut (w/ husk),..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,598409.65,749563.75,1347973.4,608698.38,753733.5,1362431.88,615004.62,757795.82,1372800.44,605351.08,759631.15,1364982.22,600159.32,677679.64,1277838.96
Coconut Mature,..CORDILLERA ADMINISTRATIVE REGION (CAR),333.65,271.17,604.82,329.06,284.15,613.21,333.34,268.77,602.11,331.07,251.56,582.63,330.86,291.9,622.77
Coconut Mature,..REGION I (ILOCOS REGION),5529.44,6248.97,11778.41,5568.78,6152.99,11721.76,5725.05,6600.82,12325.87,5541.48,7053.06,12594.53,5717.22,7088.8,12806.01
Coconut Mature,..REGION II (CAGAYAN VALLEY),10097.32,14284.35,24381.67,11663.24,15220.55,26883.79,11896.42,15476.77,27373.19,12977.19,15713.74,28690.93,13510.61,13092.27,26602.88
Coconut Mature,..REGION III (CENTRAL LUZON),23873.56,43653.39,67526.95,18776.32,45770.66,64546.98,19329.92,43572.14,62902.06,17879.48,42022.4,59901.88,18268.74,41393,59661.75
Coconut Mature,..REGION IV-A (CALABARZON),510101.51,952052.71,1462154.22,500659.57,976740.45,1477400.02,510237.34,984268.44,1494505.78,512382.15,998317.45,1510699.6,474264.92,971585.26,1445850.18
Coconut Mature,..MIMAROPA REGION,255394.88,495242.65,750637.53,260660.84,532432.11,793092.95,291931.85,602615.27,894547.12,302559.98,482358.23,784918.21,303853.41,486061.16,789914.57
Coconut Mature,..REGION V (BICOL REGION),434620.58,703391.53,1138012.11,372731.58,727260.03,1099991.61,467219.77,782825.76,1250045.53,452292.33,722169.48,1174461.81,429427.21,714646.12,1144073.33
Coconut Mature,..REGION VI (WESTERN VISAYAS),228665.13,249460.11,478125.24,245384.1,264375.7,509759.8,255720,273546.51,529266.51,261714.8,270422.94,532137.74,209875.33,211094.18,420969.51
Coconut Mature,..NEGROS ISLAND REGION (NIR) 2/,0,0,0,0,0,0,0,0,0,0,0,0,105666.66,141596.06,247262.71
Coconut Mature,..REGION VII (CENTRAL VISAYAS),152286.59,187854.21,340140.8,159339.64,200478.15,359817.79,96492.56,164025.49,260518.05,146497.87,217154.81,363652.68,78155.92,115712.48,193868.4
Coconut Mature,..REGION VIII (EASTERN VISAYAS),447704.88,641031.91,1088736.78,447531.55,656864.9,1104396.46,459964.42,643043.96,1103008.38,496274.47,679401.63,1175676.11,487653.63,688882.31,1176535.94
Coconut Mature,..REGION IX (ZAMBOANGA PENINSULA),817544.07,857774.08,1675318.15,826883.67,902945.58,1729829.25,857585.06,913508.02,1771093.08,879843.46,886098.7,1765942.16,838517.26,902893.73,1741410.99
Coconut Mature,..REGION X (NORTHERN MINDANAO),872583.35,978914.63,1851497.99,865879.25,991557.49,1857436.74,874704.07,989692.17,1864396.24,891462.09,989100.23,1880562.32,834053.58,966741.73,1800795.31
Coconut Mature,..REGION XI (DAVAO REGION),936507.92,1018981.04,1955488.96,949205.46,1026685.59,1975891.05,960063.83,1045069.31,2005133.14,944293.72,1024562.67,1968856.39,934439.24,1015812.2,1950251.44
Coconut Mature,..REGION XII (SOCCSKSARGEN),578470.83,576150.65,1154621.48,601436.4,603644.49,1205080.89,613710.36,607723.1,1221433.46,617476.5,597281.45,1214757.95,582415.81,571302.28,1153718.09
Coconut Mature,..REGION XIII (CARAGA),376257.64,384696.06,760953.7,379402.13,374400.35,753802.48,346969.04,326967.6,673936.64,323549.7,316206.78,639756.48,318780.59,335432.74,654213.34
Coconut Mature,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,591175.06,745620.1,1336795.16,601307.56,749629.5,1350937.06,607833.59,753597.04,1361430.63,598014.93,755179.17,1353194.1,586859.68,669709.91,1256569.59
Coconut Young,..CORDILLERA ADMINISTRATIVE REGION (CAR),262.99,156.32,419.32,280.26,171.17,451.43,311.3,220.17,531.47,293.59,272.08,565.67,268.93,251.63,520.55
Coconut Young,..REGION I (ILOCOS REGION),12870.29,19363.72,32234.01,13355.64,19251.52,32607.16,14068.21,20832.82,34901.03,13924.4,21940.92,35865.32,14396.12,22048.4,36444.52
Coconut Young,..REGION II (CAGAYAN VALLEY),24430.06,29904.79,54334.85,25071.9,30707.89,55779.79,25620.49,31121.55,56742.04,27111.33,31572.41,58683.74,27692.37,29217.86,56910.23
Coconut Young,..REGION III (CENTRAL LUZON),20265.06,24047.54,44312.6,14554.83,21754.45,36309.28,16243.29,22332.58,38575.87,18857.38,14044.61,32901.99,15632.54,12044.47,27677.01
Coconut Young,..REGION IV-A (CALABARZON),18184.61,12727.82,30912.42,17726.17,14456.06,32182.23,18950.43,15441.64,34392.07,18633.48,17111.07,35744.55,20030.56,17662.91,37693.47
Coconut Young,..MIMAROPA REGION,3786.9,4944.5,8731.4,4446.05,5818.35,10264.4,4868.54,6506.86,11375.4,5626.9,6316.37,11943.27,4574.24,6379.52,10953.76
Coconut Young,..REGION V (BICOL REGION),5905.9,6939.39,12845.29,4620.56,6587.9,11208.46,4903.53,6784.3,11687.83,4686.16,5539.58,10225.74,4360.68,5517.14,9877.82
Coconut Young,..REGION VI (WESTERN VISAYAS),22868.07,20593.61,43461.68,23516.65,21407.69,44924.34,24097.03,23047.74,47144.76,26446.49,21174.28,47620.77,9365.01,10052.43,19417.44
Coconut Young,..NEGROS ISLAND REGION (NIR) 2/,0,0,0,0,0,0,0,0,0,0,0,0,19927.18,17183.47,37110.65
Coconut Young,..REGION VII (CENTRAL VISAYAS),22611.55,25791.06,48402.61,23891.78,27987.26,51879.04,14928.08,24600.96,39529.04,18577.31,28055.67,46632.98,14302.62,22992.22,37294.84
Coconut Young,..REGION VIII (EASTERN VISAYAS),3362.84,7550.67,10913.51,3558.98,7819.96,11378.94,3716.8,7941.62,11658.42,4324.16,9076.77,13400.92,4237.1,8892.24,13129.34
Coconut Young,..REGION IX (ZAMBOANGA PENINSULA),36581.07,34137.23,70718.3,36593.81,34271.93,70865.74,37465.23,36850,74315.23,44408.74,37129.39,81538.13,39271.74,39252.84,78524.59
Coconut Young,..REGION X (NORTHERN MINDANAO),2287.01,4994.8,7281.81,2400.03,5067.48,7467.51,2406.1,5347.6,7753.7,2806.08,5391.42,8197.5,2462.13,5359.41,7821.54
Coconut Young,..REGION XI (DAVAO REGION),3848,3359.77,7207.77,3865.87,3484.7,7350.57,3754.24,3537.78,7292.02,3876.56,15052.64,18929.21,4027.08,15213.24,19240.32
Coconut Young,..REGION XII (SOCCSKSARGEN),3916.04,4108.12,8024.16,4124.33,4490.01,8614.34,4136.63,4450.05,8586.68,4432.73,4589.06,9021.79,4291.33,4489.26,8780.59
Coconut Young,..REGION XIII (CARAGA),1498.42,1672.33,3170.75,1746.7,1567.33,3314.03,1552.38,1232.76,2785.14,1944.34,1238.85,3183.19,1704.15,919.23,2623.39
Coconut Young,..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,7234.59,3943.65,11178.24,7390.82,4104,11494.82,7171.03,4198.78,11369.81,7336.15,4451.97,11788.12,13299.64,7969.73,21269.37
Coffee (dried berries w/ pulp),..CORDILLERA ADMINISTRATIVE REGION (CAR),1719.94,286.33,2006.27,1923.97,305.21,2229.18,1673.15,0,1673.15,0,0,0,0,0,0
Coffee (dried berries w/ pulp),..REGION I (ILOCOS REGION),134.73,18.42,153.15,137.76,17.61,155.37,131.3,0,131.3,0,0,0,0,0,0
Coffee (dried berries w/ pulp),..REGION II (CAGAYAN VALLEY),999.14,47.02,1046.16,1093.98,50.84,1144.82,1199.13,0,1199.13,0,0,0,0,0,0
Coffee (dried berries w/ pulp),..REGION III (CENTRAL LUZON),757.71,29.83,787.53,741.08,5.9,746.98,934.42,0,934.42,0,0,0,0,0,0
Coffee (dried berries w/ pulp),..REGION IV-A (CALABARZON),1136.51,135.61,1272.12,1221.27,198.08,1419.35,1324.88,0,1324.88,0,0,0,0,0,0
Coffee (dried berries w/ pulp),..MIMAROPA REGION,72.6,69.12,141.72,63.91,74.56,138.47,45.81,0,45.81,0,0,0,0,0,0
Coffee (dried berries w/ pulp),..REGION V (BICOL REGION),64.56,95.72,160.28,30.99,52.56,83.55,16.51,0,16.51,0,0,0,0,0,0
Coffee (dried berries w/ pulp),..REGION VI (WESTERN VISAYAS),923.85,3255.83,4179.68,963.68,2923.34,3887.01,951.14,0,951.14,0,0,0,0,0,0
Coffee (dried berries w/ pulp),..NEGROS ISLAND REGION (NIR) 2/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee (dried berries w/ pulp),..REGION VII (CENTRAL VISAYAS),66.71,54.03,120.74,53.4,58.34,111.74,25.14,0,25.14,0,0,0,0,0,0
Coffee (dried berries w/ pulp),..REGION VIII (EASTERN VISAYAS),24.66,31.89,56.55,23.59,30.54,54.13,22.48,0,22.48,0,0,0,0,0,0
Coffee (dried berries w/ pulp),..REGION IX (ZAMBOANGA PENINSULA),151.55,363.83,515.38,159.32,297.66,456.98,139.65,0,139.65,0,0,0,0,0,0
Coffee (dried berries w/ pulp),..REGION X (NORTHERN MINDANAO),2594.62,3006.69,5601.32,3292.16,2942.28,6234.44,3189.86,0,3189.86,0,0,0,0,0,0
Coffee (dried berries w/ pulp),..REGION XI (DAVAO REGION),3708.71,7117.55,10826.25,3629.94,7226.14,10856.08,3596.56,0,3596.56,0,0,0,0,0,0
Coffee (dried berries w/ pulp),..REGION XII (SOCCSKSARGEN),7434.92,14153.55,21588.47,8775.8,12231.61,21007.41,7669.92,0,7669.92,0,0,0,0,0,0
Coffee (dried berries w/ pulp),..REGION XIII (CARAGA),187.01,1435.23,1622.24,148.84,1432.24,1581.08,140.1,0,140.1,0,0,0,0,0,0
Coffee (dried berries w/ pulp),..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,3126.99,7436.11,10563.1,2956.8,7543.8,10500.59,2984.27,0,2984.27,0,0,0,0,0,0
Coffee Arabica (dried berries),..CORDILLERA ADMINISTRATIVE REGION (CAR),444.53,250.41,694.94,775.98,270.06,1046.04,866.95,0,866.95,0,0,0,0,0,0
Coffee Arabica (dried berries),..REGION I (ILOCOS REGION),63.48,10.44,73.92,64.08,10.07,74.14,58.82,0,58.82,0,0,0,0,0,0
Coffee Arabica (dried berries),..REGION II (CAGAYAN VALLEY),166.79,0,166.79,167.77,0,167.77,187.67,0,187.67,0,0,0,0,0,0
Coffee Arabica (dried berries),..REGION III (CENTRAL LUZON),0.22,0.3,0.52,0.25,0.57,0.82,0.3,0,0.3,0,0,0,0,0,0
Coffee Arabica (dried berries),..REGION IV-A (CALABARZON),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Arabica (dried berries),..MIMAROPA REGION,2.38,0.35,2.73,1.56,0.42,1.98,1.16,0,1.16,0,0,0,0,0,0
Coffee Arabica (dried berries),..REGION V (BICOL REGION),14.05,23.47,37.52,1.32,2,3.32,0.72,0,0.72,0,0,0,0,0,0
Coffee Arabica (dried berries),..REGION VI (WESTERN VISAYAS),24.29,650.33,674.62,25.64,598.32,623.96,24.02,0,24.02,0,0,0,0,0,0
Coffee Arabica (dried berries),..NEGROS ISLAND REGION (NIR) 2/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Arabica (dried berries),..REGION VII (CENTRAL VISAYAS),0.52,19.25,19.77,0.42,22.06,22.48,0.2,0,0.2,0,0,0,0,0,0
Coffee Arabica (dried berries),..REGION VIII (EASTERN VISAYAS),0.48,6.1,6.58,0.44,6.1,6.54,0.21,0,0.21,0,0,0,0,0,0
Coffee Arabica (dried berries),..REGION IX (ZAMBOANGA PENINSULA),28.22,90.91,119.13,28.21,83.14,111.35,25.07,0,25.07,0,0,0,0,0,0
Coffee Arabica (dried berries),..REGION X (NORTHERN MINDANAO),147.33,51.55,198.88,140.64,48.81,189.45,135.88,0,135.88,0,0,0,0,0,0
Coffee Arabica (dried berries),..REGION XI (DAVAO REGION),423.41,1894.2,2317.61,416.45,1948.75,2365.2,432.18,0,432.18,0,0,0,0,0,0
Coffee Arabica (dried berries),..REGION XII (SOCCSKSARGEN),3428.57,5482.81,8911.38,3296.33,4496.5,7792.83,3083.57,0,3083.57,0,0,0,0,0,0
Coffee Arabica (dried berries),..REGION XIII (CARAGA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Arabica (dried berries),..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,641.09,792,1433.09,645.97,801.38,1447.34,649.39,0,649.39,0,0,0,0,0,0
Coffee Excelsa (dried berries),..CORDILLERA ADMINISTRATIVE REGION (CAR),22.32,6,28.32,21.67,6.15,27.82,21.77,0,21.77,0,0,0,0,0,0
Coffee Excelsa (dried berries),..REGION I (ILOCOS REGION),9.7,3.11,12.81,9.85,2.88,12.73,9.8,0,9.8,0,0,0,0,0,0
Coffee Excelsa (dried berries),..REGION II (CAGAYAN VALLEY),135.86,0,135.86,146.74,0,146.74,160.45,0,160.45,0,0,0,0,0,0
Coffee Excelsa (dried berries),..REGION III (CENTRAL LUZON),3.75,0,3.75,3.7,0,3.7,3.5,0,3.5,0,0,0,0,0,0
Coffee Excelsa (dried berries),..REGION IV-A (CALABARZON),318.29,0,318.29,331.99,0,331.99,321.74,0,321.74,0,0,0,0,0,0
Coffee Excelsa (dried berries),..MIMAROPA REGION,12.99,4.86,17.85,10.44,5.73,16.17,8.01,0,8.01,0,0,0,0,0,0
Coffee Excelsa (dried berries),..REGION V (BICOL REGION),0.52,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Excelsa (dried berries),..REGION VI (WESTERN VISAYAS),0,1.78,1.78,0,1.94,1.94,0,0,0,0,0,0,0,0,0
Coffee Excelsa (dried berries),..NEGROS ISLAND REGION (NIR) 2/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Excelsa (dried berries),..REGION VII (CENTRAL VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Excelsa (dried berries),..REGION VIII (EASTERN VISAYAS),8.24,11.72,19.96,7.6,11.24,18.84,6.75,0,6.75,0,0,0,0,0,0
Coffee Excelsa (dried berries),..REGION IX (ZAMBOANGA PENINSULA),10.06,35.47,45.52,10.03,33.45,43.48,9.56,0,9.56,0,0,0,0,0,0
Coffee Excelsa (dried berries),..REGION X (NORTHERN MINDANAO),164.78,106.67,271.44,184.91,101.49,286.4,162.91,0,162.91,0,0,0,0,0,0
Coffee Excelsa (dried berries),..REGION XI (DAVAO REGION),619.88,505.11,1124.99,597.57,505.95,1103.53,595.89,0,595.89,0,0,0,0,0,0
Coffee Excelsa (dried berries),..REGION XII (SOCCSKSARGEN),299.79,32.67,332.46,257.46,28.93,286.39,151.36,0,151.36,0,0,0,0,0,0
Coffee Excelsa (dried berries),..REGION XIII (CARAGA),0.72,0.71,1.43,0.64,0.63,1.27,0.51,0,0.51,0,0,0,0,0,0
Coffee Excelsa (dried berries),..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,560.61,836.72,1397.33,545.56,850.09,1395.65,540.12,0,540.12,0,0,0,0,0,0
Coffee Liberica (dried berries),..CORDILLERA ADMINISTRATIVE REGION (CAR),9.04,7.45,16.49,8.71,6.74,15.45,8.37,0,8.37,0,0,0,0,0,0
Coffee Liberica (dried berries),..REGION I (ILOCOS REGION),0,0,0,0.02,0.03,0.04,0.02,0,0.02,0,0,0,0,0,0
Coffee Liberica (dried berries),..REGION II (CAGAYAN VALLEY),8.18,0,8.18,9.2,0,9.2,10.76,0,10.76,0,0,0,0,0,0
Coffee Liberica (dried berries),..REGION III (CENTRAL LUZON),1.25,0,1.25,1.2,0,1.2,1.1,0,1.1,0,0,0,0,0,0
Coffee Liberica (dried berries),..REGION IV-A (CALABARZON),58.82,0,58.82,55.11,0,55.11,60.5,0,60.5,0,0,0,0,0,0
Coffee Liberica (dried berries),..MIMAROPA REGION,7.82,4.75,12.57,7.82,6.21,14.03,7.71,0,7.71,0,0,0,0,0,0
Coffee Liberica (dried berries),..REGION V (BICOL REGION),2.3,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Liberica (dried berries),..REGION VI (WESTERN VISAYAS),2,125.02,127.02,2.25,117.52,119.77,1.95,0,1.95,0,0,0,0,0,0
Coffee Liberica (dried berries),..NEGROS ISLAND REGION (NIR) 2/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Liberica (dried berries),..REGION VII (CENTRAL VISAYAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Liberica (dried berries),..REGION VIII (EASTERN VISAYAS),4.33,2.9,7.23,4.1,2.8,6.9,3.82,0,3.82,0,0,0,0,0,0
Coffee Liberica (dried berries),..REGION IX (ZAMBOANGA PENINSULA),0.54,0.6,1.14,0.58,0.57,1.15,0.54,0,0.54,0,0,0,0,0,0
Coffee Liberica (dried berries),..REGION X (NORTHERN MINDANAO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Liberica (dried berries),..REGION XI (DAVAO REGION),38.2,31.84,70.04,37.11,31.24,68.34,36.47,0,36.47,0,0,0,0,0,0
Coffee Liberica (dried berries),..REGION XII (SOCCSKSARGEN),0.17,1.65,1.82,0.14,1.05,1.19,0.09,0,0.09,0,0,0,0,0,0
Coffee Liberica (dried berries),..REGION XIII (CARAGA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Liberica (dried berries),..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,8.67,147,155.67,8.88,148.2,157.08,8.59,0,8.59,0,0,0,0,0,0
Coffee Robusta (dried berries),..CORDILLERA ADMINISTRATIVE REGION (CAR),1244.05,22.47,1266.52,1117.61,22.26,1139.87,776.06,0,776.06,0,0,0,0,0,0
Coffee Robusta (dried berries),..REGION I (ILOCOS REGION),61.55,4.87,66.42,63.81,4.63,68.45,62.66,0,62.66,0,0,0,0,0,0
Coffee Robusta (dried berries),..REGION II (CAGAYAN VALLEY),688.3,47.02,735.32,770.27,50.84,821.11,840.25,0,840.25,0,0,0,0,0,0
Coffee Robusta (dried berries),..REGION III (CENTRAL LUZON),752.49,29.53,782.01,735.93,5.33,741.26,929.52,0,929.52,0,0,0,0,0,0
Coffee Robusta (dried berries),..REGION IV-A (CALABARZON),759.4,135.61,895.01,834.17,198.08,1032.25,942.64,0,942.64,0,0,0,0,0,0
Coffee Robusta (dried berries),..MIMAROPA REGION,49.41,59.16,108.57,44.09,62.2,106.29,28.93,0,28.93,0,0,0,0,0,0
Coffee Robusta (dried berries),..REGION V (BICOL REGION),47.7,72.25,119.95,29.67,50.56,80.23,15.79,0,15.79,0,0,0,0,0,0
Coffee Robusta (dried berries),..REGION VI (WESTERN VISAYAS),897.56,2478.7,3376.26,935.78,2205.56,3141.35,925.17,0,925.17,0,0,0,0,0,0
Coffee Robusta (dried berries),..NEGROS ISLAND REGION (NIR) 2/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee Robusta (dried berries),..REGION VII (CENTRAL VISAYAS),66.19,34.78,100.97,52.98,36.28,89.26,24.94,0,24.94,0,0,0,0,0,0
Coffee Robusta (dried berries),..REGION VIII (EASTERN VISAYAS),11.61,11.17,22.78,11.45,10.4,21.86,11.7,0,11.7,0,0,0,0,0,0
Coffee Robusta (dried berries),..REGION IX (ZAMBOANGA PENINSULA),112.74,236.85,349.59,120.5,180.51,301,104.48,0,104.48,0,0,0,0,0,0
Coffee Robusta (dried berries),..REGION X (NORTHERN MINDANAO),2282.52,2848.48,5131,2966.61,2791.98,5758.59,2891.07,0,2891.07,0,0,0,0,0,0
Coffee Robusta (dried berries),..REGION XI (DAVAO REGION),2627.22,4686.4,7313.62,2578.82,4740.2,7319.01,2532.02,0,2532.02,0,0,0,0,0,0
Coffee Robusta (dried berries),..REGION XII (SOCCSKSARGEN),3706.39,8636.42,12342.81,5221.87,7705.13,12927,4434.9,0,4434.9,0,0,0,0,0,0
Coffee Robusta (dried berries),..REGION XIII (CARAGA),186.29,1434.52,1620.81,148.2,1431.61,1579.81,139.6,0,139.6,0,0,0,0,0,0
Coffee Robusta (dried berries),..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM) 1/,1916.62,5660.39,7577.01,1756.39,5744.13,7500.52,1786.16,0,1786.16,0,0,0,0,0,0
Coffee Others (dried berries),..CORDILLERA ADMINISTRATIVE REGION (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
