id,category,source,text
43,soil_conservation,Food and Agriculture Organization,"Ang contour farming ay binabawasan ng 50-80% ang pagkakaagos ng lupa sa mga dalisdis na higit sa 5%. Kapag pinagsama sa cover crops, umabot sa 90% ang bisa ng pagpigil sa erosion."
44,soil_conservation,World Agroforestry Centre,"Ang agroforestry systems na may mga puno ay binabawasan ang wind erosion at pinapabuti ang microclimate. Ang pagsasama ng puno ay pinapataas ng 10-20% ang ani sa pamamagitan ng mas magandang pag-ikot ng tubig at sustansya."
45,soil_conservation,International Soil and Water Conservation Research,"Ang cover crops tulad ng Centrosema at Stylosanthes ay nagpoprotekta sa lupa sa pagitan ng mga season at nagdadagdag ng 20-40 kg N/ha sa pamamagitan ng biological fixation."
46,seed_technology,International Rice Research Institute,"Ang paggamit ng certified seed ay pinapataas ng 10-15% ang ani ng palay kumpara sa sariling binhi sa pamamagitan ng genetic purity at vigor. Ang seed treatment ay lalo pang pinapabuti ang pagsisimula."
47,seed_technology,Philippine Seed Industry Association,"Ang hybrid seed technology sa mais ay nagbibigay ng 20-30% na mas mataas na ani kaysa sa open-pollinated varieties sa pamamagitan ng heterosis at mas magandang pagtitiis sa stress."
48,seed_technology,Food and Agriculture Organization,"Ang seed priming gamit ang tubig o nutrient solutions ay pinapabuti ng 15-25% ang germination rate at binabawasan ng 1-2 araw ang oras bago sumibol."
49,post_harvest,Philippine Rice Research Institute,"Ang tamang pagtuyo ng palay sa 14% moisture content ay pumipigil sa pagkasira sa imbakan dahil sa insekto at fungi. Ang solar drying o mechanical dryers ay nagsisiguro ng pagpapanatili ng kalidad."
50,post_harvest,Food and Agriculture Organization,"Ang paraan ng pagproseso ng kape ay nakakaapekto sa kalidad at presyo. Ang wet processing ay gumagawa ng mas mataas na kalidad na kape na may 20-30% na mas mataas na presyo kaysa sa dry processed coffee."
51,post_harvest,International Institute of Tropical Agriculture,"Ang tamang pag-imbak ng butil sa hermetic containers ay pumipigil sa aflatoxin contamination at pinsala ng insekto, pinapanatili ang kalidad ng 12-18 buwan."
52,economics,Philippine Statistics Authority,"Ang gastos sa produksyon ng palay ay average na PHP 12-15 bawat kilo sa tamang pamamahala. Ang pagtaas ng ani sa pamamagitan ng mas magagandang uri at pamamaraan ay malaking pinapabuti ang kita."
53,economics,Department of Agriculture Philippines,"Ang organic certification premium para sa palay ay umaabot sa 30-50% na mas mataas sa conventional prices, kaya sulit ang gastos sa transition para sa mga magsasakang may access sa market."
54,economics,Food and Agriculture Organization,"Ang contract farming arrangements ay nagbibigay ng stable na presyo at technical support, pinapataas ng 15-25% ang kita ng magsasaka kumpara sa spot market sales."
55,nutrition,International Rice Research Institute,"Ang Golden rice na may beta-carotene ay tumutulong sa kakulangan ng vitamin A. Ang regular na pagkain nito ay nagbibigay ng 30-50% ng pang-araw-araw na pangangailangan ng vitamin A."
56,nutrition,Philippine Nutrition Research Institute,"Ang iron-biofortified beans ay may 80-100 ppm iron kumpara sa 50-60 ppm sa regular varieties, malaking pinapabuti ang iron intake sa pagkain."
57,nutrition,World Health Organization,"Ang zinc-biofortified wheat at rice ay tumutulong sa kakulangan ng micronutrient na nakakaapekto sa 2 billion na tao sa mundo. Ang biofortification ay nagbibigay ng sustainable nutrition solution."
58,mechanization,Philippine Center for Postharvest Development,"Ang mechanical transplanting sa palay ay binabawasan ng 75% ang pangangailangan ng manggagawa at pinapabuti ang pantay na pagkakatayo ng halaman, nagdudulot ng 8-12% na pagtaas ng ani."
59,mechanization,International Rice Research Institute,"Ang paggamit ng combine harvester ay binabawasan ang pagkalugi sa ani mula sa 15-20% hanggang 2-3% kumpara sa manual harvesting, malaking pinapabuti ang kita sa farm."
60,mechanization,Food and Agriculture Organization,"Ang precision agriculture equipment na gumagamit ng GPS guidance ay binabawasan ng 10-15% ang gastos sa inputs sa pamamagitan ng tumpak na application at binawasang overlap."
61,extension_services,Food and Agriculture Organization,"Ang farmer field schools ay pinapabuti ng 60-80% ang paggamit ng mas magagandang pamamaraan sa pamamagitan ng participatory learning at peer-to-peer knowledge transfer."
62,extension_services,International Rice Research Institute,"Ang digital extension platforms ay umaabot sa 10 beses na mas maraming magsasaka kaysa sa traditional methods sa 50% na mas mababang gastos bawat magsasakang nakausap."
63,extension_services,Philippine Rice Research Institute,"Ang demonstration plots na nagpapakita ng mas magagandang uri at pamamaraan ay nakakakumbinsi sa 70-80% ng mga magsasakang nanonood na gamitin ang mga bagong teknolohiya."
64,market_access,Food and Agriculture Organization,"Ang farmer cooperatives ay pinapalakas ang bargaining power at binabawasan ng 20-30% ang marketing costs sa pamamagitan ng collective selling at bulk input purchasing."
65,market_access,International Fund for Agricultural Development,"Ang mobile phone-based market information systems ay tumutulong sa mga magsasaka na makakuha ng 15-25% na mas magandang presyo sa pamamagitan ng mas magandang timing at pagpili ng buyer."
66,sustainability,Food and Agriculture Organization,"Ang sustainable intensification ay pinapataas ang productivity habang binabawasan ang environmental impact sa pamamagitan ng efficient resource use at ecosystem service enhancement."
67,sustainability,International Assessment of Agricultural Knowledge,"Ang agroecological practices ay pinapanatili ang ani habang binabawasan ng 30-50% ang dependence sa external input sa pamamagitan ng natural resource management."
68,sustainability,World Bank,"Ang climate-smart agriculture practices ay pinapalakas ang resilience sa pagbabago ng panahon habang pinapanatili ang productivity at binabawasan ang greenhouse gas emissions."
69,biodiversity,International Center for Tropical Agriculture,"Ang crop diversification ay binabawasan ng 20-30% ang production risk at pinapabuti ang nutrition ng pamilya sa pamamagitan ng iba-ibang pagkain."
70,biodiversity,Food and Agriculture Organization,"Ang traditional crop varieties ay pinapanatili ang genetic diversity na kailangan para sa climate adaptation at nagbibigay ng natatanging nutritional at cultural values."
71,soil_ph,Bureau of Soils and Water Management,"Sa Pilipinas, ang mga upland soils ay madalas na may pH na mas mababa sa 5.5, nagdudulot ng phosphorus fixation at aluminum toxicity. Inirerekomenda ang paglalagay ng lime na 2-3 tons/ha para itaas ang pH sa tamang lebel para sa mais at cassava."
72,soil_ph,Philippine Coconut Authority,"Ang niyog ay kaya ang malawak na soil pH range (5.0-8.0), pero ang pinakamabuting ani ng niyog ay nakakamit sa pH 6.0-7.5. Ang maasiim na lupa na mas mababa sa 5.0 ay binabawasan ang potassium uptake, pinapataas ang susceptibility sa cadang-cadang disease."
73,crop_temperature,Philippine Rice Research Institute,"Ang hybrid rice varieties sa Central Luzon ay pinakamabuti sa day temperatures na 30-32°C at night temperatures na 20-22°C. Ang night temperatures na higit sa 24°C ay pinapabilis ang respiration, binabawasan ang grain filling at ani."
74,rainfall_irrigation,Philippine Atmospheric Geophysical and Astronomical Services,"Ang saging ay kailangan ng 2000-2500mm na ulan bawat taon na pantay ang pagkakakalat. Ang ulan na mas mababa sa 120mm bawat buwan ay nagdudulot ng mas magaan na bunch weight at mas mataas na incidence ng Sigatoka leaf spot."
75,ndvi_vegetation,University of the Philippines Los Baños,"Sa mga tropikal na farm sa Pilipinas, ang NDVI values na higit sa 0.80 ay nagpapakita ng siksik na canopies na karaniwan sa irrigated rice fields o shaded perennial crops tulad ng cacao. Ang NDVI na mas mababa sa 0.50 sa mga system na ito ay madalas na nagpapakita ng nutrient stress o pest infestation."
76,soil_ph,University of the Philippines Los Baños,"Kaya ng mangga ang lupa na may pH 5.5–7.5. Pero kapag bumaba sa 5.0, bumababa ang kalidad ng bunga dahil sa kakulangan ng calcium. Ang paglalagay ng apog (lime) ay nakakatulong para dumami ang bulaklak at mabawasan ang nalalaglag na bunga."
77,crop_temperature,Philippine Tobacco Research Institute,"Pinakamaganda ang tubo ng tabako sa 20–30°C. Kapag laging higit sa 32°C, bumababa ang kalidad ng dahon dahil tumataas ang nicotine at bumababa ang asukal, kaya naaapektuhan ang curing at presyo."
78,rainfall_irrigation,Bureau of Soils and Water Management,"Matibay ang kamoteng-kahoy sa tagtuyot at kailangan lang ng 500–700mm na ulan sa isang taon. Pero kapag sobra sa 200mm bawat buwan, nagkakaroon ng root rot at tumataas ang lason (cyanide) sa ugat."
79,ndvi_vegetation,International Rice Research Institute,"Sa mga rainfed lowlands sa Pilipinas, ang NDVI na 0.60–0.70 ay karaniwang nakikita sa palayan habang aktibong tumutubo. Kapag bumaba sa 0.55, senyales ito ng kulang sa tubig o sustansya at kailangang aksyunan."
80,crop_temperature,Philippine Coconut Authority,"Maganda ang tubo ng cacao sa 21–28°C. Kapag palaging lampas 30°C, tumataas ang pagkawala ng tubig (evapotranspiration), kaya kailangan ng shade crops gaya ng saging o Gliricidia para proteksyon."
